Situação, Especifica, n
Processados em Juiz de Fora sem registro de prisão, Sem informação da sentença, 4
Processados em Juiz de Fora sem registro de prisão, Absolvidos, 3
Processados em Juiz de Fora sem registro de prisão, Condenado à revelia, 1
Presos, Em Juiz de Fora, 31
Presos, Em outro lugar e posteriormente processado em Juiz de Fora, 31
Presos, Em outro lugar e transferido para a prisão em Juiz de Fora, 61
Presos, Em outra localidade e interrogado em Juiz de Fora, 1
Presos, Em outra localidade e investigado em Juiz de Fora, 4
Presos, Sem informação do local em que ocorreu a prisão, 13
Outros, outros, 2
